GEOID,blackE,indigE,ltnxE,povrateE,lifeexpBRHD,health_outcomes,overall,overall_no_outcomes,rank_no_outcomes,rank_outcomes
51540000401,0.8668122270742358,0.4705882352941177,0.3983402489626556,0.33830104321907606,1,0.7943760135094429,3.868417768059528,3.074041754550085,1,1
51109950201,0.5087336244541485,0.5882352941176471,0.21161825726141076,0.2593144560357676,0.8289393776305243,1,3.3968410094994983,2.3968410094994983,4,2
51540000501,1,0,0.3402489626556016,0.3204172876304024,0.8370851215528808,0.8703423849706856,3.36809375680957,2.4977513718388846,3,3
51540000202,0.4541484716157206,0.23529411764705885,0.22406639004149378,1,0.7411019350276562,0.4944246065994333,3.1490355209313625,2.654610914331929,2,4
51109950202,0.3493449781659389,0.4117647058823529,0.10373443983402489,0.17287630402384502,0.7719191701740322,0.9403439582516794,2.7499835563318733,1.809639598080194,9,5
51125950100,0.314410480349345,0,0.2987551867219917,0.2771982116244412,0.8615223533199485,0.9721655742254165,2.724051806241143,1.7518862320157265,10,6
51003010700,0.5698689956331878,0.35294117647058826,0.3941908713692946,0.165424739195231,0.6912697468605946,0.536255412840681,2.7099509423695776,2.1736955295288967,5,7
51065020200,0.49126637554585156,0.23529411764705885,0.33195020746887965,0.0849478390461997,0.7311904505622525,0.7497909218991373,2.6244399121693798,1.8746489902702423,8,8
51003011302,0.23799126637554588,0.17647058823529413,1,0.41281669150521616,0.32262941530179134,0.4728573875041778,2.6227653489220253,2.1499079614178473,7,9
51003010800,0.2532751091703057,1,0.3609958506224066,0.12518628912071536,0.4286002520380221,0.4437275275324399,2.6117850284838897,2.16805750095145,6,10
51109950400,0.5567685589519651,0,0.12033195020746887,0.18330849478390462,0.7800649140963889,0.8569493418806992,2.4974232599204265,1.6404739180397274,12,11
51125950300,0.4366812227074236,0,0.09543568464730288,0.18479880774962745,0.6252957795716253,0.8761036660439415,2.2183151607199205,1.3422114946759791,18,12
51540000402,0.34716157205240183,0.17647058823529413,0.024896265560165973,0.1549925484351714,0.8370851215528808,0.5891029845005352,2.1297090803364496,1.5406060958359142,15,13
51540000800,0.22052401746724895,0,0.6390041493775933,0.16989567809239942,0.496853135623634,0.5770704119120726,2.1033473924729487,1.5262769805608758,16,14
51109950100,0.27074235807860264,0,0.21576763485477177,0.10432190760059613,0.633441523493982,0.8570825192891093,2.0813559433170616,1.2242734240279525,20,15
51003011400,0.4694323144104804,0,0.24066390041493774,0.12071535022354694,0.41350643759037087,0.8205276665004199,2.064845669139756,1.2443180026393361,19,16
51079030101,0.18340611353711792,0,0.21991701244813275,0.11922503725782416,0.6578787552610497,0.8638684722553299,2.0442953907594545,1.1804269185041245,21,17
51540000201,0.32532751091703066,0,0.15352697095435686,0.3755588673621461,0.7411019350276562,0.3400834285207813,1.9355987127819712,1.59551528426119,14,18
51540000600,0.20960698689956336,0.05882352941176471,0.20746887966804978,0.8852459016393444,0.3245514405503186,0.2475613603647624,1.933258098533803,1.6856967381690406,11,19
51065020101,0.37991266375545857,0.17647058823529413,0.07053941908713693,0.05514157973174367,0.48681813289157383,0.6842880864567187,1.853170470157926,1.1688823837012072,22,20
51079030102,0.05021834061135371,0.11764705882352942,0.11203319502074689,0.11922503725782416,0.5845670599598456,0.8029908658217813,1.786681557495081,0.9836906916732998,30,21
51079030200,0.07860262008733625,0.17647058823529413,0.3153526970954357,0.03427719821162445,0.429797925435083,0.6971633689259628,1.7316643979907362,1.0345010290647734,28,22
51109950500,0.15938864628820962,0,0.04149377593360996,0.17138599105812222,0.4053606936680142,0.9165446346577237,1.6941737416056797,0.777629106947956,37,23
51109950300,0.1790393013100437,0,0.06224066390041493,0.10730253353204172,0.4705266450468628,0.8492980054154193,1.6684071492047825,0.8191091437893632,36,24
51003010601,0.3951965065502184,0,0.13278008298755187,0.23845007451564829,0.2971841717451319,0.5816410321441732,1.6452518679427237,1.0636108357985505,25,25
51065020300,0.1790393013100437,0,0.06224066390041493,0.07600596125186289,0.5194011085809981,0.76192031702433,1.5986073520676496,0.8366870350433195,35,26
51003010902,0.13973799126637554,0.17647058823529413,0.5809128630705394,0.32637853949329365,0.37505627128318175,0,1.5985562533486843,1.5985562533486843,13,27
51003011301,0.2292576419213974,0,0.12448132780082986,0.13412816691505217,0.39721494974565874,0.6369356069430859,1.522017693326024,0.8850820863829382,32,28
51003010901,0.021834061135371185,0.35294117647058826,0.1991701244813278,0.42921013412816694,0.3482319303874566,0.15209902644369658,1.5034864530466072,1.3513874266029107,17,29
